subject,number,term,year,undergrad,grad
CSE,550,1,2001,16,7
CSE,402,3,2001,0,12
CSE,550,3,2001,17,5
CSE,232,1,2002,18,3
CSE,402,1,2002,0,8
CSE,550,1,2002,18,4
EN,190,1,2002,15,3
CSE,402,3,2002,0,10
CSE,553,3,2002,8,4
CSE,232,1,2003,5,2
CSE,402,1,2003,0,10
CSE,550,1,2003,19,14
EN,190,1,2003,28,3
CSE,232,3,2003,15,2
CSE,517,3,2003,35,33
EN,190,3,2003,23,4
CSE,232,1,2004,6,1
CSE,550,1,2004,19,18
EN,190,1,2004,27,4
CSE,332,3,2004,32,5
CSE,553,3,2004,12,9
EN,190,3,2004,23,2
CSE,550,1,2005,6,15
CSE,332,3,2005,28,2
CSE,332,1,2006,20,3
CSE,232,3,2006,5,0
CSE,553,3,2006,4,6
CSE,517,3,2007,32,25
CSE,550,1,2008,17,4
CSE,332,3,2008,21,0
CSE,200,3,2009,48,0
CSE,553,3,2009,9,3
CSE,550,1,2011,20,9
ROB,551,1,2012,0,11
CSE,553,3,2012,4,8
ME,430,2,2013,71,0
ME,451,3,2013,38,0
ENGR,112,0,2014,11,0
ME,451,1,2014,81,0
ME,499/599,1,2014,23,6
ME,451,2,2014,37,0
ROB,551,2,2014,0,14
ROB,514,1,2015,0,44
ME,430,2,2015,80,0
ROB,551,3,2015,0,11
ROB,559,3,2015,0,6
ROB,514,1,2016,0,29
ME,451,2,2016,53,0
ME,499/599,2,2016,43,11
ME,451,1,2017,109,0
HC,299,2,2017,6,0
ME,499/599,2,2017,45,19
ROB,551,3,2017,0,17
ROB,514,1,2018,0,38
ME,451,2,2018,128,0
ME,499/599,2,2018,56,26
ME,499/599,3,2018,79,5
HC,407,1,2019,12,0
ME,451,1,2019,76,0
ME,499/599,3,2019,64,10
ROB,551,3,2019,26,0
ROB,499/599,1,2020,,35
ME,499/599,2,2020,53,12
ROB,514,1,2024,,23
ROB,499/599,2,2024,,26
ROB,499/599,3,2025,13,19
